Press,Temp,COND,Sal,DENS,C
99.7492,0.286,29.1715,34.79,28.4,1451.79
100.0354,0.2854,29.1715,34.79,28.4,1451.79
100.2859,0.286,29.1715,34.79,28.4,1451.8
100.5006,0.2854,29.1727,34.79,28.4,1451.8
100.7868,0.2854,29.1727,34.79,28.4,1451.81
101.0373,0.2854,29.1727,34.79,28.4,1451.81
101.2877,0.286,29.1739,34.79,28.41,1451.82
101.5024,0.2866,29.1739,34.79,28.41,1451.82
101.7528,0.2866,29.1727,34.79,28.41,1451.83
102.0391,0.286,29.1739,34.79,28.41,1451.83
102.2538,0.286,29.1727,34.79,28.41,1451.83
102.4684,0.286,29.1739,34.79,28.41,1451.84
102.7547,0.2854,29.1739,34.79,28.41,1451.84
103.0409,0.286,29.1739,34.79,28.41,1451.85
103.3271,0.286,29.1739,34.79,28.41,1451.85
103.5776,0.286,29.1739,34.79,28.42,1451.85
103.7922,0.286,29.1739,34.79,28.42,1451.86
104.1142,0.2854,29.1739,34.79,28.42,1451.86
104.2931,0.286,29.1751,34.79,28.42,1451.87
104.5078,0.2854,29.1751,34.79,28.42,1451.87
104.8298,0.286,29.1751,34.79,28.42,1451.88
105.0802,0.2849,29.1739,34.79,28.42,1451.87
105.2949,0.2843,29.1739,34.79,28.42,1451.88
105.5096,0.2843,29.1739,34.79,28.43,1451.88
105.7958,0.2849,29.1739,34.79,28.43,1451.88
106.0105,0.2831,29.1727,34.79,28.43,1451.88
106.2609,0.2831,29.1751,34.8,28.43,1451.89
106.5829,0.2837,29.1727,34.79,28.43,1451.89
106.7976,0.2837,29.1727,34.79,28.43,1451.89
107.0122,0.2825,29.169,34.79,28.43,1451.89
107.2627,0.2772,29.1555,34.78,28.42,1451.85
107.5131,0.263,29.1457,34.78,28.42,1451.79
107.7635,0.2518,29.142,34.79,28.43,1451.76
108.0497,0.2465,29.1383,34.79,28.44,1451.74
108.336,0.2382,29.1248,34.78,28.43,1451.7
108.5864,0.2282,29.115,34.78,28.43,1451.65
108.8368,0.2182,29.1089,34.78,28.43,1451.61
109.0872,0.2099,29.1052,34.79,28.44,1451.59
109.3377,0.2046,29.1015,34.79,28.44,1451.57
109.5881,0.2005,29.0942,34.78,28.44,1451.55
109.8028,0.194,29.0917,34.79,28.44,1451.52
110.1247,0.1881,29.0856,34.78,28.44,1451.5
110.3394,0.1834,29.0844,34.79,28.45,1451.49
110.6614,0.181,29.0807,34.78,28.45,1451.48
110.8402,0.1781,29.077,34.78,28.45,1451.47
111.1264,0.1733,29.0733,34.78,28.45,1451.45
111.3053,0.1686,29.0709,34.79,28.45,1451.43
111.6273,0.1663,29.0709,34.79,28.46,1451.43
111.8062,0.1657,29.0721,34.79,28.46,1451.43
112.0566,0.1663,29.0721,34.79,28.46,1451.44
112.3428,0.1657,29.0721,34.79,28.46,1451.44
112.5932,0.1657,29.0721,34.79,28.46,1451.45
112.8436,0.1657,29.0709,34.79,28.46,1451.45
113.094,0.1657,29.0709,34.79,28.46,1451.45
113.3444,0.1663,29.0721,34.79,28.47,1451.46
113.5591,0.1663,29.0721,34.79,28.47,1451.46
113.8095,0.1663,29.0721,34.79,28.47,1451.47
114.0599,0.1663,29.0733,34.79,28.47,1451.47
114.3819,0.1663,29.0733,34.79,28.47,1451.48
114.5607,0.1663,29.0733,34.79,28.47,1451.48
114.8112,0.1663,29.0721,34.79,28.47,1451.48
115.0616,0.1663,29.0721,34.79,28.47,1451.49
115.312,0.1657,29.0721,34.79,28.47,1451.49
115.5266,0.1657,29.0733,34.79,28.48,1451.49
115.777,0.1651,29.0697,34.79,28.47,1451.49
115.9917,0.1615,29.0611,34.78,28.47,1451.47
116.3136,0.1497,29.0402,34.76,28.46,1451.4
116.5998,0.1297,29.0292,34.77,28.47,1451.32
116.7429,0.1167,29.0145,34.77,28.47,1451.26
117.0648,0.1002,29.0046,34.77,28.47,1451.2
117.2437,0.0896,29.001,34.78,28.48,1451.16
117.5656,0.0837,28.9936,34.78,28.48,1451.13
117.7803,0.0766,28.9912,34.78,28.49,1451.11
118.0307,0.0736,29.0108,34.81,28.51,1451.14
118.3168,0.0955,29.0439,34.83,28.53,1451.27
118.5315,0.1256,29.0586,34.81,28.51,1451.39
118.7103,0.1468,29.0684,34.8,28.5,1451.48
119.1038,0.158,29.0709,34.79,28.5,1451.52
119.3184,0.1604,29.0819,34.8,28.51,1451.55
119.533,0.1798,29.1138,34.82,28.52,1451.67
119.7834,0.2058,29.1236,34.81,28.51,1451.77
120.0338,0.2129,29.1212,34.8,28.5,1451.79
120.32,0.2129,29.1175,34.79,28.5,1451.79
120.5704,0.2111,29.1285,34.81,28.51,1451.81
120.8208,0.2188,29.1457,34.82,28.52,1451.87
121.0354,0.2365,29.158,34.82,28.52,1451.94
121.2858,0.2512,29.1604,34.8,28.51,1452.0
121.5004,0.2559,29.1678,34.81,28.51,1452.03
121.7508,0.2607,29.1629,34.8,28.51,1452.04
122.0012,0.2559,29.1567,34.79,28.5,1452.02
122.2873,0.2512,29.158,34.8,28.51,1452.01
122.4662,0.2512,29.1629,34.81,28.52,1452.02
122.7523,0.2554,29.1665,34.81,28.52,1452.04
123.0385,0.2601,29.1813,34.82,28.53,1452.09
123.2173,0.2713,29.1886,34.82,28.53,1452.14
123.432,0.2819,29.1935,34.81,28.52,1452.18
123.7181,0.2902,29.2033,34.81,28.53,1452.23
124.0043,0.2996,29.2181,34.82,28.54,1452.29
124.2546,0.3149,29.2254,34.82,28.53,1452.35
124.505,0.322,29.2316,34.82,28.53,1452.39
124.7554,0.3273,29.2328,34.81,28.53,1452.41
125.0415,0.3291,29.234,34.81,28.53,1452.42
125.2204,0.3303,29.234,34.81,28.53,1452.43
125.5423,0.3303,29.2352,34.81,28.53,1452.44
125.7927,0.3303,29.2352,34.81,28.53,1452.44
126.0073,0.3303,29.2352,34.81,28.53,1452.44
126.2219,0.3303,29.2365,34.81,28.54,1452.45
126.508,0.3321,29.2389,34.81,28.54,1452.46
126.7226,0.3344,29.2426,34.81,28.54,1452.48
126.9372,0.3385,29.2438,34.81,28.54,1452.5
127.2234,0.3385,29.2438,34.81,28.54,1452.5
127.4737,0.3391,29.245,34.81,28.54,1452.51
127.6883,0.3391,29.245,34.81,28.54,1452.51
127.9745,0.338,29.2414,34.81,28.54,1452.51
128.1891,0.335,29.2352,34.8,28.54,1452.49
128.4394,0.3279,29.2242,34.8,28.53,1452.45
128.7613,0.3144,29.2107,34.79,28.53,1452.39
128.9759,0.2996,29.1997,34.8,28.54,1452.33
129.1905,0.2878,29.1911,34.8,28.54,1452.29
129.4409,0.2784,29.1849,34.8,28.54,1452.25
129.7985,0.2695,29.18,34.8,28.55,1452.22
130.0131,0.2648,29.1776,34.81,28.55,1452.2
130.2277,0.2624,29.1776,34.81,28.56,1452.2
130.4781,0.2613,29.1764,34.81,28.56,1452.2
130.7284,0.2601,29.1739,34.81,28.56,1452.19
131.0146,0.2595,29.1751,34.81,28.56,1452.2
131.1576,0.2595,29.1751,34.81,28.56,1452.2
131.408,0.2589,29.1751,34.81,28.56,1452.2
131.6941,0.2589,29.1751,34.81,28.56,1452.21
131.9087,0.2589,29.1751,34.81,28.56,1452.21
132.159,0.2583,29.1751,34.81,28.57,1452.21
132.4452,0.2571,29.1715,34.8,28.56,1452.21
132.6597,0.2548,29.1702,34.81,28.57,1452.2
132.9459,0.2512,29.1665,34.8,28.57,1452.19
133.1962,0.2477,29.1641,34.81,28.57,1452.18
133.4108,0.2453,29.1641,34.81,28.57,1452.17
133.6969,0.2453,29.1665,34.81,28.58,1452.18
133.9115,0.2495,29.1727,34.81,28.58,1452.21
134.1618,0.2542,29.1764,34.81,28.58,1452.23
134.4122,0.2589,29.18,34.81,28.58,1452.26
134.6625,0.2613,29.18,34.81,28.58,1452.27
134.9129,0.2613,29.1776,34.81,28.58,1452.27
135.199,0.2589,29.1776,34.81,28.58,1452.27
135.4136,0.2577,29.1764,34.81,28.58,1452.26
135.6281,0.2565,29.1739,34.81,28.58,1452.26
135.8785,0.2542,29.1715,34.81,28.58,1452.25
136.2003,0.2518,29.169,34.81,28.58,1452.25
136.4149,0.2489,29.1653,34.8,28.58,1452.23
136.6295,0.2453,29.1641,34.81,28.59,1452.22
136.8798,0.2418,29.1592,34.8,28.58,1452.21
137.1302,0.2359,29.1543,34.8,28.59,1452.19
137.4163,0.2306,29.1518,34.81,28.59,1452.17
137.6666,0.2276,29.1494,34.81,28.59,1452.16
137.8812,0.2235,29.1457,34.81,28.59,1452.14
138.1673,0.22,29.1445,34.81,28.6,1452.14
138.3818,0.2176,29.1408,34.81,28.6,1452.12
138.6322,0.2141,29.1371,34.8,28.6,1452.11
138.8467,0.2117,29.1371,34.81,28.6,1452.11
139.0613,0.2123,29.1445,34.82,28.61,1452.13
139.3116,0.22,29.1567,34.82,28.61,1452.17
139.5977,0.2312,29.1616,34.82,28.61,1452.22
139.7408,0.2347,29.1616,34.81,28.61,1452.24
140.0984,0.2341,29.1616,34.81,28.61,1452.24
140.3129,0.2341,29.158,34.81,28.61,1452.24
140.5275,0.2318,29.1555,34.81,28.61,1452.23
140.8493,0.2288,29.1555,34.81,28.61,1452.22
141.0281,0.2276,29.1531,34.81,28.61,1452.22
141.2427,0.2259,29.1543,34.81,28.61,1452.22
141.493,0.2259,29.1555,34.81,28.62,1452.22
141.8149,0.2259,29.1543,34.81,28.62,1452.23
142.0294,0.2259,29.1531,34.81,28.62,1452.23
142.2797,0.2235,29.1494,34.81,28.62,1452.22
142.5658,0.22,29.1457,34.81,28.62,1452.21
142.7446,0.2123,29.1334,34.8,28.61,1452.16
143.0664,0.1993,29.1224,34.8,28.61,1452.11
143.2452,0.1887,29.1126,34.8,28.61,1452.06
143.4955,0.1757,29.0991,34.79,28.61,1452.0
143.7459,0.1621,29.0893,34.8,28.62,1451.95
144.0319,0.1521,29.0844,34.8,28.62,1451.91
144.2465,0.1438,29.0746,34.8,28.62,1451.87
144.5326,0.1309,29.0574,34.79,28.62,1451.81
144.7113,0.1149,29.0488,34.8,28.62,1451.75
144.9259,0.1037,29.0451,34.8,28.63,1451.71
145.1762,0.1008,29.0439,34.81,28.63,1451.7
145.498,0.099,29.0427,34.81,28.64,1451.7
145.8198,0.0978,29.0414,34.81,28.64,1451.7
145.9986,0.0955,29.0378,34.8,28.64,1451.69
146.2132,0.0943,29.0341,34.8,28.63,1451.68
146.4992,0.0919,29.039,34.81,28.64,1451.69
146.7138,0.0931,29.0365,34.8,28.64,1451.69
146.9283,0.0907,29.0353,34.8,28.64,1451.68
147.2144,0.0878,29.0329,34.8,28.64,1451.67
147.4289,0.0854,29.0304,34.8,28.64,1451.67
147.6792,0.0843,29.0304,34.81,28.65,1451.67
147.8938,0.0831,29.0292,34.8,28.65,1451.66
148.1441,0.0807,29.0255,34.8,28.65,1451.65
148.3944,0.0778,29.023,34.8,28.65,1451.64
148.6447,0.0754,29.0181,34.8,28.65,1451.63
148.9307,0.0707,29.012,34.8,28.65,1451.61
149.1453,0.0636,29.0059,34.8,28.65,1451.58
149.4313,0.0559,28.9973,34.79,28.65,1451.55
149.7174,0.0453,28.985,34.79,28.64,1451.5
149.8961,0.0312,28.9764,34.79,28.65,1451.44
150.1107,0.0211,28.9728,34.8,28.66,1451.41
150.361,0.017,28.9715,34.8,28.66,1451.4
150.647,0.0152,28.9691,34.8,28.66,1451.39
150.9331,0.014,28.9679,34.8,28.66,1451.39
151.0761,0.0123,28.9666,34.8,28.66,1451.38
151.3621,0.0099,28.9654,34.8,28.67,1451.38
151.6839,0.0093,28.9642,34.8,28.67,1451.38
151.8984,0.0076,28.9593,34.8,28.66,1451.37
152.113,0.0017,28.9544,34.8,28.66,1451.35
152.3633,-0.006,28.947,34.79,28.67,1451.31
152.6493,-0.0125,28.9421,34.8,28.67,1451.29
152.8638,-0.0184,28.9335,34.79,28.67,1451.26
153.0783,-0.0278,28.9261,34.79,28.67,1451.22
153.3644,-0.0367,28.92,34.79,28.67,1451.19
153.6147,-0.0455,28.9102,34.79,28.67,1451.15
153.8292,-0.0556,28.9004,34.79,28.67,1451.1
154.0795,-0.0656,28.893,34.79,28.67,1451.06
154.3297,-0.075,28.8869,34.79,28.68,1451.02
154.58,-0.0804,28.8844,34.79,28.68,1451.01
154.866,-0.0851,28.8808,34.79,28.68,1450.99
155.009,-0.0886,28.8783,34.8,28.68,1450.98
155.3308,-0.0922,28.8746,34.79,28.68,1450.97
155.5096,-0.0963,28.8722,34.8,28.69,1450.95
155.8314,-0.0998,28.871,34.8,28.69,1450.94
156.0816,-0.101,28.8685,34.8,28.69,1450.94
156.3319,-0.1034,28.8673,34.8,28.69,1450.93
156.6179,-0.1063,28.8624,34.79,28.69,1450.92
156.7967,-0.111,28.855,34.79,28.69,1450.89
157.0827,-0.1181,28.8477,34.79,28.69,1450.86
157.3687,-0.1264,28.8452,34.79,28.7,1450.84
157.5832,-0.1311,28.844,34.8,28.7,1450.83
157.762,-0.1329,28.844,34.8,28.7,1450.82
158.0123,-0.1323,28.8427,34.8,28.7,1450.83
158.2983,-0.1323,28.8477,34.8,28.71,1450.84
158.5128,-0.1258,28.8575,34.81,28.71,1450.88
158.7273,-0.1175,28.8611,34.8,28.71,1450.92
159.0133,-0.1134,28.8636,34.8,28.71,1450.94
159.1921,-0.111,28.8661,34.8,28.71,1450.95
159.4781,-0.1081,28.8673,34.8,28.71,1450.97
159.6926,-0.1075,28.8673,34.8,28.71,1450.97
159.9428,-0.1075,28.8673,34.8,28.71,1450.98
160.2289,-0.1075,28.8661,34.8,28.71,1450.98
160.4434,-0.1087,28.8648,34.8,28.71,1450.98
160.7294,-0.1104,28.8611,34.79,28.71,1450.97
160.9439,-0.114,28.8587,34.79,28.71,1450.96
161.2299,-0.1193,28.855,34.8,28.72,1450.94
161.5159,-0.1217,28.8513,34.79,28.71,1450.93
161.7304,-0.1258,28.8489,34.79,28.72,1450.91
161.9806,-0.1287,28.8464,34.79,28.72,1450.9
162.1951,-0.1323,28.8427,34.79,28.72,1450.89
162.4454,-0.137,28.8403,34.8,28.72,1450.88
162.7314,-0.1399,28.8366,34.79,28.72,1450.86
162.9459,-0.1441,28.8317,34.79,28.72,1450.85
163.1961,-0.15,28.8268,34.79,28.72,1450.82
163.4464,-0.1559,28.8219,34.79,28.72,1450.8
163.7323,-0.163,28.8096,34.78,28.72,1450.76
163.9826,-0.1753,28.7998,34.78,28.72,1450.71
164.1971,-0.1866,28.7912,34.79,28.72,1450.66
164.4116,-0.196,28.7851,34.79,28.73,1450.63
164.6261,-0.2019,28.7826,34.79,28.73,1450.61
164.9121,-0.2054,28.7814,34.79,28.74,1450.6
165.1265,-0.2096,28.7765,34.79,28.74,1450.58
165.4483,-0.2143,28.7716,34.79,28.74,1450.56
165.627,-0.2184,28.7679,34.79,28.74,1450.54
165.8773,-0.2225,28.7643,34.79,28.74,1450.53
166.0917,-0.2267,28.7618,34.79,28.74,1450.51
166.4135,-0.2314,28.7593,34.79,28.74,1450.5
166.6637,-0.2332,28.7581,34.79,28.75,1450.5
166.9139,-0.2349,28.7569,34.79,28.75,1450.49
167.1642,-0.2361,28.7557,34.79,28.75,1450.49
167.3429,-0.2373,28.7544,34.79,28.75,1450.49
167.5931,-0.2385,28.7557,34.8,28.75,1450.49
167.8434,-0.2385,28.7557,34.79,28.75,1450.49
168.1293,-0.2391,28.7544,34.79,28.75,1450.49
168.3438,-0.2397,28.7532,34.79,28.75,1450.49
168.6298,-0.2391,28.7544,34.79,28.76,1450.5
168.88,-0.2402,28.7532,34.79,28.76,1450.5
169.0945,-0.2414,28.752,34.79,28.76,1450.5
169.3447,-0.2426,28.752,34.79,28.76,1450.5
169.5592,-0.2426,28.7508,34.79,28.76,1450.5
169.7737,-0.2438,28.752,34.79,28.76,1450.5
170.0239,-0.2438,28.7495,34.79,28.76,1450.5
170.2741,-0.245,28.7483,34.79,28.76,1450.5
170.5243,-0.2479,28.7459,34.79,28.76,1450.49
170.8103,-0.2515,28.7397,34.79,28.76,1450.47
171.0605,-0.2585,28.7348,34.79,28.76,1450.44
171.275,-0.2633,28.7336,34.79,28.77,1450.43
171.5252,-0.2656,28.7336,34.79,28.77,1450.43
171.8469,-0.2662,28.7324,34.79,28.77,1450.43
172.0614,-0.2674,28.7311,34.79,28.77,1450.43
172.3473,-0.2686,28.7311,34.79,28.77,1450.43
172.5618,-0.2692,28.7299,34.79,28.77,1450.43
172.7763,-0.2709,28.7287,34.79,28.78,1450.42
173.0622,-0.2721,28.7287,34.79,28.78,1450.42
173.241,-0.2727,28.7275,34.79,28.78,1450.42
173.5269,-0.2733,28.7262,34.79,28.78,1450.42
173.8129,-0.2739,28.7262,34.79,28.78,1450.42
174.0273,-0.2751,28.725,34.79,28.78,1450.42
174.2418,-0.2762,28.725,34.79,28.78,1450.42
174.5277,-0.2768,28.7238,34.79,28.78,1450.42
174.7422,-0.278,28.7226,34.79,28.78,1450.42
175.0281,-0.2792,28.7226,34.79,28.79,1450.42
175.2069,-0.2804,28.7213,34.79,28.79,1450.42
175.4928,-0.281,28.7213,34.79,28.79,1450.42
175.743,-0.2815,28.7201,34.79,28.79,1450.42
175.9575,-0.2827,28.7189,34.79,28.79,1450.42
176.2077,-0.2845,28.7176,34.79,28.79,1450.41
176.4221,-0.2857,28.7176,34.79,28.79,1450.41
176.7081,-0.2869,28.7152,34.79,28.79,1450.41
176.9225,-0.2886,28.714,34.79,28.8,1450.4
177.2442,-0.2916,28.7115,34.79,28.8,1450.4
177.4944,-0.2939,28.7054,34.79,28.79,1450.38
177.7088,-0.301,28.7017,34.79,28.8,1450.36
177.9233,-0.3057,28.6992,34.79,28.8,1450.34
178.1735,-0.3087,28.698,34.79,28.8,1450.33
178.4237,-0.3099,28.698,34.79,28.81,1450.33
178.7096,-0.311,28.6956,34.79,28.8,1450.33
178.8883,-0.3128,28.6943,34.79,28.81,1450.33
179.21,-0.3146,28.6931,34.79,28.81,1450.32
179.4244,-0.3169,28.6919,34.79,28.81,1450.32
179.6032,-0.3169,28.6931,34.79,28.81,1450.32
179.8891,-0.3164,28.6931,34.79,28.81,1450.33
180.1035,-0.3158,28.6931,34.79,28.81,1450.33
180.3895,-0.3169,28.6919,34.79,28.81,1450.33
180.6039,-0.3169,28.6919,34.79,28.81,1450.33
180.8898,-0.3181,28.6919,34.79,28.82,1450.34
181.0685,-0.3175,28.6907,34.79,28.82,1450.34
181.3544,-0.3181,28.6919,34.79,28.82,1450.34
181.6761,-0.3181,28.6919,34.79,28.82,1450.35
181.9263,-0.3181,28.6919,34.79,28.82,1450.35
182.2122,-0.3181,28.6919,34.79,28.82,1450.36
182.4624,-0.3193,28.6919,34.79,28.82,1450.36
182.7126,-0.3187,28.6919,34.79,28.83,1450.36
182.927,-0.3187,28.6919,34.79,28.83,1450.36
183.1772,-0.3181,28.6931,34.79,28.83,1450.37
183.3559,-0.3181,28.6931,34.79,28.83,1450.38
183.6418,-0.3169,28.6943,34.79,28.83,1450.39
183.892,-0.3169,28.6943,34.79,28.83,1450.39
184.1421,-0.3164,28.6943,34.79,28.83,1450.4
184.3923,-0.3164,28.6943,34.79,28.83,1450.4
184.6067,-0.3158,28.6968,34.79,28.84,1450.41
184.8569,-0.3134,28.7017,34.8,28.84,1450.43
185.1428,-0.3093,28.7042,34.8,28.84,1450.45
185.3572,-0.3069,28.7066,34.8,28.84,1450.47
185.5359,-0.3046,28.7078,34.8,28.84,1450.48
185.8218,-0.304,28.7078,34.79,28.84,1450.48
186.1077,-0.304,28.7078,34.79,28.84,1450.49
186.2507,-0.3046,28.7066,34.79,28.84,1450.49
186.5723,-0.3046,28.7078,34.79,28.85,1450.49
186.7867,-0.3046,28.7078,34.79,28.85,1450.5
187.1084,-0.3046,28.7091,34.8,28.85,1450.5
187.3585,-0.3028,28.7127,34.8,28.85,1450.52
187.573,-0.2987,28.7189,34.8,28.86,1450.55
187.7874,-0.2892,28.7299,34.81,28.86,1450.6
188.0375,-0.2804,28.736,34.8,28.86,1450.64
188.3592,-0.2733,28.7409,34.8,28.86,1450.68
188.5379,-0.2692,28.7385,34.79,28.85,1450.69
188.8238,-0.2715,28.7348,34.79,28.85,1450.68
188.9667,-0.2768,28.7422,34.81,28.87,1450.68
189.2883,-0.2686,28.7643,34.83,28.88,1450.75
189.5027,-0.2426,28.7777,34.82,28.87,1450.86
189.7529,-0.2284,28.7888,34.81,28.87,1450.92
190.0388,-0.2155,28.7998,34.81,28.87,1450.99
190.2532,-0.2031,28.8072,34.81,28.87,1451.04
190.4676,-0.1966,28.8096,34.81,28.87,1451.07
190.7178,-0.1948,28.8121,34.81,28.87,1451.08
191.0394,-0.1972,28.7986,34.79,28.86,1451.06
191.1823,-0.2107,28.7851,34.79,28.86,1450.99
191.4682,-0.2231,28.779,34.79,28.86,1450.95
191.6826,-0.232,28.7753,34.8,28.87,1450.92
191.9685,-0.2355,28.7741,34.8,28.87,1450.91
192.1829,-0.2373,28.7728,34.8,28.87,1450.91
192.3973,-0.2391,28.7716,34.8,28.87,1450.9
192.6475,-0.2408,28.7704,34.8,28.88,1450.9
192.9691,-0.2414,28.7692,34.8,28.88,1450.9
193.1835,-0.2426,28.7704,34.8,28.88,1450.9
193.4693,-0.2432,28.7692,34.8,28.88,1450.9
193.648,-0.2438,28.7679,34.8,28.88,1450.9
193.8981,-0.2456,28.7655,34.8,28.88,1450.89
194.2198,-0.2473,28.7655,34.8,28.88,1450.89
194.4342,-0.2485,28.7643,34.8,28.88,1450.89
194.6486,-0.2491,28.7643,34.8,28.89,1450.89
194.8987,-0.2503,28.763,34.8,28.89,1450.89
195.0774,-0.2509,28.7618,34.8,28.89,1450.89
195.399,-0.252,28.7618,34.8,28.89,1450.89
195.5419,-0.2532,28.7606,34.8,28.89,1450.89
195.8635,-0.2544,28.7593,34.8,28.89,1450.89
196.0779,-0.2568,28.7557,34.8,28.89,1450.87
196.2923,-0.2579,28.7569,34.8,28.89,1450.88
196.5781,-0.2591,28.7557,34.8,28.9,1450.88
196.7925,-0.2609,28.7544,34.8,28.9,1450.87
197.0427,-0.2615,28.7544,34.8,28.9,1450.87
197.3285,-0.2633,28.7532,34.8,28.9,1450.87
197.5429,-0.2644,28.7508,34.8,28.9,1450.86
197.793,-0.2662,28.7495,34.8,28.9,1450.86
198.0432,-0.2668,28.7508,34.8,28.9,1450.87
198.3647,-0.268,28.7446,34.8,28.9,1450.86
198.5791,-0.2739,28.7397,34.8,28.9,1450.83
198.8292,-0.2786,28.736,34.8,28.9,1450.81
199.0436,-0.2833,28.7348,34.8,28.91,1450.8
199.2938,-0.2863,28.7336,34.8,28.91,1450.79
199.5439,-0.2869,28.7324,34.8,28.91,1450.79
